Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Ambiguous,Comments
645,the editor,"L'avocat a refusé d'aider le rédacteur en chef, car il ne voulait pas payer le projet de loi.",Y,M,,
769,the auditor,Le cuisinier a tenté d'éviter de voir l'auditeur parce qu'il trouverait facilement les problèmes avec la cuisine.,Y,M,,
2343,the attendant,Le chef a refusé d'aider l'accompagnateur avec la voiture parce que c'était son travail.,Y,M,,
1921,the librarian,L'analyste a consulté le bibliothécaire parce qu'elle en sait beaucoup sur les livres.,Y,M,,
2834,the cook,Le tailleur fixe le tablier du cuisinier et il était très reconnaissant.,Y,M,,
3112,the attendant,Le gardien a voulu en dépit de l'accompagnateur et l'a saboté.,Y,M,,
1578,the driver,L'Assistant a payé le chauffeur et lui a demandé de prêter plus d'attention.,Y,M,1,
3795,auditor,L'auditeur a demandé à quelqu'un de lui fournir des dossiers à examiner.,Y,M,1,
381,the attendant,Le mécanicien a demandé le préposé parce qu'il était le seul qui pouvait aider.,Y,M,,
2096,The sheriff,"Le shérif soupçonnait que le coiffeur était le meurtrier, mais il n'avait aucune preuve.",Y,M,,
1254,the lawyer,L'écrivain a conservé l'avocat et lui a ensuite expliqué la situation.,Y,M,,
942,the supervisor,Le greffier a induit en erreur le superviseur et lui a donné des renseignements erronés.,Y,M,,
2194,The CEO,Le PDG discute avec l'écrivain de la façon dont il aimerait que l'histoire soit écrite.,Y,M,,
3000,the cashier,Le cuisinier envoya un cadeau à la caissière et lui exprima sa gratitude.,Y,F,,
294,The manager,Le gérant a suggéré que le caissier trouve un nouvel emploi parce qu'elle était cruelle.,Y,M,,"""le caissier"" suggests M (as opposed to ""la caissière"") although ""elle..."" indicates F"
1451,the driver,Le comptable a demandé au chauffeur de s'arrêter au coin et lui a donné quelques conseils.,Y,M,1,
965,the salesperson,Le greffier détestait le vendeur et la sabotait.,Y,M,,
1300,the janitor,L'infirmière a parlé avec le concierge pendant un moment et lui a donné un cadeau de Noël.,Y,M,,
741,the writer,Le chauffeur a demandé à l'écrivain d'aider avec un poème parce qu'il avait publié beaucoup de ses poèmes.,Y,M,,
107,the accountant,Le PDG a acheté une voiture au comptable parce qu'il en avait besoin.,Y,M,,
1316,the guard,Le conseiller a posé quelques questions à la garde et l'a loué pour le bon travail.,Y,F,,
1091,the mover,Le greffier a demandé au déménageur d'aider à porter le bureau et l'a remercié.,Y,M,,
2019,the baker,L'agriculteur a exigé plus de pain du boulanger parce qu'elle a élevé les prix injustement.,Y,M,,
3390,janitor,"Le concierge a averti l'enfant de ne pas marcher sur le sol mouillé, sinon il aurait à éponger tout recommencer.",Y,M,,awkward translation
3760,scientist,Quelqu'un a demandé à travailler avec le scientifique parce qu'elle avait besoin d'un assistant de labo.,Y,F,,"Name suggests M, coref indicates F"
2766,the salesperson,Le tailleur a embauché le vendeur et lui a demandé de vendre des costumes pour l'entreprise.,Y,M,,
2041,the counselor,Le vendeur a rencontré le conseiller parce qu'elle voulait acheter de la marchandise.,Y,F,,"Name suggests M, coref indicates F"
1744,The mechanic,Le mécanicien a réparé la voiture de la gouvernante et a émis un reçu.,Y,M,,
2758,the mover,L'auditeur a contacté le déménageur et lui a demandé de déménager.,Y,M,,
2898,the chief,Le tailleur a visité le chef et l'a aidé à ajuster le pantalon.,Y,M,,
516,the salesperson,Le Secrétaire a demandé au vendeur de partir parce qu'elle perturbait les gens dans le bureau.,Y,F,,"Name suggests M, coref indicates F"
1695,the CEO,Le bibliothécaire a aidé le PDG à trouver le livre parce qu'il le demandait.,Y,M,,awkward translation
1033,the supervisor,L'infirmière a effectué une mauvaise injection devant le superviseur et a été envoyée à l'étude corrective par elle.,Y,F,,awkward translation
2370,The assistant,L'Assistant a embauché le chauffeur car elle n'avait pas encore la licence.,Y,F,,
2888,the sheriff,Le coiffeur marchait vers le shérif et l'a remercié pour avoir attrapé le voleur.,Y,M,,
1443,the salesperson,L'enseignante a parlé au vendeur et l'a invitée à dîner.,Y,F,,"""Invitée"" indicates F"
1649,the editor,Le mécanicien a corrigé le problème pour l'éditeur et elle est reconnaissante.,Y,F,,"Name suggests M, coref indicates F"
1546,the hairdresser,Le médecin a été préoccupé par le coiffeur et l'a examiné pour des coupes.,Y,M,,
1297,the accountant,Le shérif a montré au comptable quelques documents et lui a dit qu'il avait été arrêté.,Y,M,,
1487,the supervisor,Le nettoyeur a arrêté le superviseur et lui a dit de ne pas marcher sur cette voie.,Y,M,1,
643,the receptionist,Le médecin a discuté avec la réceptionniste comme il a fait tant d'erreurs.,Y,M,,
1059,the CEO,Le Greffier devait satisfaire le PDG et produire un rapport pour elle.,Y,F,,"Name suggests M, coref indicates F"
1590,the analyst,L'Assistant a scanné des documents pour l'analyste parce qu'il a demandé.,Y,M,,
2379,the mechanic,Le greffier a donné un cadeau au mécanicien et lui a souhaité un joyeux anniversaire.,Y,M,,
3561,practitioner,Le praticien a fait un appel à la maison pour quelqu'un parce qu'il sentait un sentiment d'obligation.,Y,M,,
2211,the cleaner,Le travailleur a parlé au nettoyeur et a écouté ses plaintes au sujet du salaire.,Y,M,,
2529,the assistant,Le concierge se mit à rire de l'Assistant et la traitait mal.,Y,F,,"Name suggests M, coref indicates F"
581,the editor,L'analyste a envoyé un rapport à l'éditeur parce qu'il a présenté une demande hier.,Y,M,,
2732,the guard,Le bibliothécaire a remarqué le gardien et l'a accueilli.,Y,M,,
995,the carpenter,Le préposé a toujours été impressionné par les gestes du menuisier et comprenait son amour.,Y,M,1,
2440,the editor,Le mécanicien a appelé l'éditeur et lui a dit de récupérer la voiture.,Y,M,,
1357,the secretary,Le charpentier cria à la Secrétaire et le chassa.,Y,F,,
606,The housekeeper,La gouvernante a montré le concierge la direction parce qu'il a été là depuis vingt ans.,Y,M,,
1749,the cashier,Le superviseur a crié à la caissière parce qu'elle aimait prendre son nez.,Y,F,,
300,The construction worker,L'ouvrier de la construction agitait la gouvernante dans la salle pour obtenir ses réponses.,Y,F,,Not a person
3452,investigator,"L'enquêteur a voulu interviewer le témoin en personne, mais ils n'ont pas pu entrer en contact.",Y,M,1,
2884,the janitor,L'infirmière a parlé avec le concierge pendant un certain temps et lui a donné un cadeau de Noël.,Y,M,,
1286,the driver,Le préposé sourit au chauffeur et lui rappela de choisir le patron à temps.,Y,M,1,
2968,the construction worker,La réceptionniste a aidé le travailleur de la construction et a obtenu un cadeau de lui.,Y,F,,Not a person
3738,client,Le parajuriste a oublié de déposer de la paperasse pour le client alors il a eu marre et est allé à un cabinet d'avocats différent.,Y,M,,
3599,surgeon,Le chirurgien a opéré sur quelqu'un avec beaucoup de soin; leur affection avait grandi au fil du temps.,Y,M,,
2450,the manager,L'écrivain a interrogé le gérant et lui a posé quelques questions.,Y,M,,
3399,psychologist,Le psychologue a dit à quelqu'un de remplir un questionnaire afin qu'il puisse faire une évaluation préliminaire.,Y,M,,
3799,taxpayer,L'auditeur a demandé au contribuable de fournir des registres de ses transactions financières.,Y,N,1,
3349,child,Le bibliothécaire a aidé l'enfant à choisir un livre parce qu'elle ne savait pas quoi lire.,Y,F,,
252,The farmer,L'agriculteur a exigé que l'auditeur quitte la ferme parce qu'elle était la propriétaire.,Y,F,,
1162,the sheriff,Le greffier a répondu au shérif et lui a conseillé de déposer la documentation prochainement.,Y,M,,
1116,the writer,Le superviseur a aidé l'écrivain et lui a ensuite demandé de lui rendre la pareille.,Y,M,1,
3123,the carpenter,L'auditeur a été dérouté par le manque d'organisation du charpentier et l'a averti que la vérification ne se terminerait pas bien.,Y,M,,
1227,the farmer,Le boulanger a chargé le fermier plus d'argent et ne voulait pas lui donner plus de pain.,Y,M,,
1051,the chief,Le boulanger a donné le pain au chef et a reçu son paiement.,Y,M,1,
1086,the cashier,Le gérant a voulu être cruel envers la caissière et a suggéré qu'il trouve un nouvel emploi.,Y,F,,
646,The farmer,L'agriculteur ne voulait pas parler avec l'écrivain parce qu'elle était occupée par l'irrigation.,Y,F,,
701,the farmer,La Secrétaire a enlevé la pétition de l'agriculteur qui était l'espoir d'améliorer sa vie.,,,,
3366,advisor,Le conseiller a rencontré l'aviseur parce qu'il voulait donner des conseils sur les demandes d'emploi.,,,,
685,the tailor,Le déménageur a frappé le tailleur parce qu'il était sur le chemin.,,,,
3603,someone,Le vétérinaire a informé quelqu'un que son chat avait développé le diabète.,,,,
1161,the writer,Le médecin est allé voir l'écrivain et lui a demandé comment écrire de bons livres.,,,,
3792,auditor,L'auditeur a demandé au contribuable de lui fournir des dossiers à examiner.,,,,
1906,The carpenter,Le menuisier admire le travail du coiffeur parce qu'il apprécie le talent.,,,,
1740,The chief,Le chef a dit au conseiller qu'il avait pris la journée.,,,,
3188,accountant,Le contribuable a rencontré le comptable pour savoir s'il pouvait aider à la préparation des impôts.,,,,
2108,The guard,Le gardien a vérifié l'identité du conseiller parce que c'est son travail.,,,,
1812,The guard,Le gardien a accusé la réceptionniste de vol parce qu'il manquait son stylo.,,,,
3299,someone,Quelqu'un a demandé à parler avec le gestionnaire parce qu'ils voulaient corriger l'erreur de facturation rapidement.,,,,
2749,the tailor,Le mécanicien a vu le tailleur et lui a expliqué le prix.,,,,
383,the auditor,Le déménageur a réfuté l'auditeur parce qu'il avait manifestement fait une erreur.,,,,
1932,The laborer,L'ouvrier a dit au boulanger qu'il avait besoin d'un gâteau demain.,,,,
1289,the librarian,Le charpentier a parlé à la bibliothécaire et lui a demandé de recommander quelques livres à lire.,,,,
2179,the hairdresser,Le gardien détestait le coiffeur parce qu'elle était trop chargée.,,,,
462,The lawyer,L'avocat représentait l'écrivain parce qu'elle était un grand fan.,,,,
3883,visitor,Le Secrétaire a demandé au visiteur de se connecter afin qu'elle puisse être délivrée un badge d'invité.,,,,
759,the attendant,Le chef a refusé d'aider l'accompagnateur avec la voiture parce que c'était son travail.,,,,
756,The janitor,Le concierge a balayé le désordre du tailleur parce qu'on lui a dit de le faire.,,,,
2927,the accountant,L'avocat a appelé le comptable pour la consulter sur le livre.,,,,
797,the mover,La gouvernante a dit Merci au déménageur et lui donner un câlin.,,,,
808,the hairdresser,Le déménageur privant le coiffeur et se mit à rire de lui.,,,,
3734,paralegal,Le parajuriste a oublié de déposer des papiers pour le client pour qu'ils soient renvoyés.,,,,
138,The carpenter,Le charpentier a fait un lion de bois pour le comptable parce qu'elle est généreuse.,,,,
1534,the designer,Le déménageur a refusé de déplacer l'œuvre d'art où le concepteur a demandé et exigé qu'il reconsidère.,,,,